root	clade_name	counts
1	Oryza rufipogon	1
2	Oryza glaberrima (1); Oryza sativa f. spontanea (1)	1; 1
3	Oryza barthii (1); Oryza glumipatula (1)	1; 1
4	Oryza meridionalis	1
5	Oryza punctata	1
6	Oryza brachyantha	1
7	Leersia	1
8	Pooideae	5
9	PACMAD clade	4
10	Zingiberales	1
11	Arecales	1
12	eudicotyledons (40); Proteales (1); Ranunculales (1)	40; 1; 1
13	Amborellales	1
14	Lycopodiopsida	1
15	Bryophyta	1
16	Chlorophyta	10
17	Opisthokonta (345); Amoebozoa (4)	345; 4
18	Discoba (6); Metamonada (1); Sar (1)	6; 1; 1
19	Rhodophyta	2
20	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)	38; 1; 1; 1
21	Metamonada	1
