root	clade_name
1	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); leotiomyceta (1); sordariomyceta (1); Leotiomycetes (1); Erysiphales (1); Erysiphaceae (1); Blumeria (1)
2	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); leotiomyceta (1); sordariomyceta (1); Leotiomycetes (1); Helotiales (4); Thelebolales (1) (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); leotiomyceta (1); sordariomyceta (1); Sordariomycetes (1); Hypocreomycetidae (23); Sordariomycetidae (15); Xylariomycetidae (2) (1)
4	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); leotiomyceta (1); Eurotiomycetes (35); dothideomyceta (1) (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); leotiomyceta (1); dothideomyceta (1); Dothideomycetes (1); Pleosporomycetidae (9); Dothideomycetidae (5); Dothideomycetes incertae sedis (2) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); Pezizomycetes (1); Pezizales (1); Pyronemataceae (1); Tuberaceae (1) (1)
7	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Pezizomycotina (1); Orbiliomycetes (1); Orbiliales (1); Orbiliaceae (1); Dactylellina (1); Orbilia (1) (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); saccharomyceta (1); Saccharomycotina (1); Pichiomycetes (16); Saccharomycetes (16); Dipodascomycetes (1) (1)
9	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Ascomycota (1); Taphrinomycotina (1); Schizosaccharomycetes (4); Pneumocystomycetes (2); Taphrinomycetes (1) (1)
10	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Dikarya (1); Basidiomycota (1); Agaricomycotina (18); Ustilaginomycotina (6); Pucciniomycotina (4); Wallemiomycotina (2) (1)
11	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Fungi incertae sedis (1); Mucoromycota (1); Mucoromycotina (1); Mucoromycetes (1); Mucorales (1); Mucorineae (1); Mucoraceae (1); Mucor (1)
12	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Fungi incertae sedis (1); Chytridiomycota (1); Chytridiomycota incertae sedis (1); Chytridiomycetes (1); Rhizophydiales (1); Spizellomycetales (1) (1)
13	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (1); Fungi incertae sedis (1); Blastocladiomycota (1); Blastocladiomycetes (1); Blastocladiales (1); Blastocladiaceae (1); Allomyces (1)
14	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1) (1)
15	cellular organisms (1); Eukaryota (1); Amoebozoa (1); Evosea (1); Archamoebae (2); Eumycetozoa (2) (1)
16	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (65); Chlorophyta (10) (1)
17	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
18	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
19	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
20	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
